,HQ3
2346,3
2347,0
2348,13
2349,7
2350,14
2351,0
2352,0
2353,14
2354,7
2355,3
2356,0
2357,7
2358,7
2359,7
2360,0
2361,0
2362,0
2363,7
2364,3
2365,7
2366,0
2367,0
2368,7
2369,0
2370,14
2371,17
2372,7
2373,3
2374,8
2375,14
2376,14
2377,0
2378,0
2379,0
2380,0
2381,0
2382,3
2383,7
2384,0
2385,3
2386,0
2387,0
2388,7
2389,7
2390,0
2391,0
2392,0
2393,10
2394,0
2395,0
2396,6
2397,7
2398,0
2399,14
2400,0
2401,0
2402,0
2403,0
2404,0
2405,10
2406,0
2407,3
2408,0
2409,7
2410,7
2411,7
2412,7
2413,0
2414,3
2415,7
2416,0
2417,7
2418,0
2419,3
2420,0
2421,3
2422,0
2423,3
2424,7
2425,3
2426,7
2427,7
2428,0
2429,0
2430,7
2431,6
2432,0
2433,7
2434,10
2435,0
2436,16
2437,7
2438,13
2439,9
2440,7
2441,7
2442,3
2443,0
2444,14
2445,0
2446,14
2447,7
2448,7
2449,0
2450,3
2451,3
2452,7
2453,10
2454,0
2455,0
2456,7
2457,0
2458,0
2459,14
2460,3
2461,0
2462,0
2463,7
2464,7
2465,0
2466,3
2467,7
2468,0
2469,6
2470,6
2471,0
2472,0
2473,0
2474,14
2475,0
2476,3
2477,3
2478,7
2479,0
2480,3
2481,0
2482,0
2483,0
2484,0
2485,7
2486,10
2487,7
2488,0
2489,0
2490,7
2491,16
2492,10
2493,0
2494,14
2495,0
2496,3
2497,3
2498,10
2499,0
2500,17
2501,7
2502,0
2503,8
2504,0
2505,0
2506,0
2507,0
2508,3
2509,0
2510,14
2511,9
2512,0
2513,0
2514,7
2515,7
2516,0
2517,3
2518,0
2519,0
2520,0
2521,0
2522,0
2523,0
2524,7
2525,0
2526,14
2527,7
2528,0
2529,0
2530,0
2531,0
2532,10
2533,0
2534,0
2535,7
2536,0
2537,0
2538,7
2539,0
2540,7
2541,3
2542,3
2543,0
2544,3
2545,11
2546,3
2547,0
2548,0
2549,0
2550,0
2551,3
2552,0
2553,0
2554,0
2555,0
2556,3
2557,3
2558,10
2559,3
2560,7
2561,0
2562,7
2563,0
2564,0
2565,7
2566,0
2567,3
2568,9
2569,3
2570,0
2571,10
2572,0
2573,3
2574,0
2575,7
2576,0
2577,6
2578,0
2579,0
2580,7
2581,3
2582,10
2583,21
2584,7
2585,7
2586,7
2587,0
2588,3
2589,7
2590,10
2591,3
2592,7
2593,14
2594,0
2595,14
2596,0
2597,3
2598,0
2599,7
2600,0
2601,17
2602,0
2603,10
2604,10
2605,3
2606,17
2607,0
2608,0
2609,0
2610,12
2611,0
2612,3
2613,14
2614,0
2615,7
2616,0
2617,14
2618,7
2619,0
2620,3
2621,14
2622,7
2623,7
2624,6
2625,0
2626,7
2627,0
2628,7
2629,0
2630,6
2631,0
2632,0
2633,3
2634,6
2635,13
2636,0
2637,14
2638,7
2639,0
2640,3
2641,3
2642,3
2643,0
2644,7
2645,7
2646,14
2647,10
2648,0
2649,0
2650,0
2651,7
2652,7
2653,7
2654,7
2655,3
2656,0
2657,0
2658,7
2659,7
2660,0
2661,7
2662,10
2663,10
2664,3
2665,7
2666,14
2667,0
2668,0
2669,0
2670,3
2671,14
2672,0
2673,0
2674,0
2675,10
2676,0
2677,7
2678,3
2679,10
2680,7
2681,7
2682,3
2683,11
2684,7
2685,7
2686,0
2687,0
2688,0
2689,14
2690,7
2691,0
2692,7
2693,14
2694,10
2695,7
2696,0
2697,7
2698,10
2699,7
2700,10
2701,0
2702,7
2703,7
2704,10
2705,10
2706,0
2707,0
2708,3
2709,3
2710,0
2711,7
2712,0
2713,10
2714,7
2715,7
2716,7
2717,7
2718,0
2719,0
2720,3
2721,3
2722,7
2723,3
2724,3
2725,3
2726,7
2727,7
2728,0
2729,6
2730,0
2731,3
2732,7
2733,0
2734,7
2735,0
2736,0
2737,7
2738,7
2739,7
2740,7
2741,14
2742,10
2743,3
2744,3
2745,14
2746,3
2747,0
2748,6
2749,3
2750,14
2751,0
2752,0
2753,9
2754,0
2755,7
2756,14
2757,0
2758,0
2759,7
2760,0
2761,0
2762,0
2763,0
2764,0
2765,10
2766,14
2767,14
2768,3
2769,3
2770,10
2771,10
2772,3
2773,7
2774,6
2775,7
2776,6
2777,0
2778,0
2779,0
2780,14
2781,3
2782,7
2783,0
2784,3
2785,6
2786,7
2787,0
2788,0
2789,0
2790,10
2791,0
2792,7
2793,14
2794,0
2795,0
2796,0
2797,7
2798,0
2799,14
2800,0
2801,0
2802,3
2803,7
2804,0
2805,7
2806,3
2807,0
2808,7
2809,7
2810,0
2811,7
2812,3
2813,7
2814,7
2815,14
2816,14
2817,3
2818,3
2819,0
2820,7
2821,0
2822,0
2823,0
2824,7
2825,10
2826,0
2827,0
2828,0
2829,0
2830,0
2831,7
2832,14
2833,0
